data_x,data_y
At the first God made the heaven and the earth.,"1,0,0"
And the earth was waste and without form; and it was dark on the face of the deep: and the Spirit of God was moving on the face of the waters.,"1,0,0"
"And God said, Let there be light: and there was light.","1,0,0"
"And God, looking on the light, saw that it was good: and God made a division between the light and the dark","1,0,0"
"Naming the light, Day, and the dark, Night. And there was evening and there was morning, the first day.","1,0,0"
"And God said, Let there be a solid arch stretching over the waters, parting the waters from the waters.","1,0,0"
And God made the arch for a division between the waters which were under the arch and those which were over it: and it was so.,"1,0,0"
"And God gave the arch the name of Heaven. And there was evening and there was morning, the second day.","1,0,0"
"And God said, Let the waters under the heaven come together in one place, and let the dry land be seen: and it was so.","1,0,0"
And God gave the dry land the name of Earth; and the waters together in their place were named Seas: and God saw that it was good.,"1,0,0"
"And God said, Let grass come up on the earth, and plants producing seed, and fruit-trees giving fruit, in which is their seed, after their sort: and it was so.","1,0,0"
"And grass came up on the earth, and every plant producing seed of its sort, and every tree producing fruit, in which is its seed, of its sort: and God saw that it was good.","1,0,0"
"And there was evening and there was morning, the third day.","1,0,0"
"And God said, Let there be lights in the arch of heaven, for a division between the day and the night, and let them be for signs, and for marking the changes of the year, and for days and for years:","1,0,0"
And let them be for lights in the arch of heaven to give light on the earth: and it was so.,"1,0,0"
"And God made the two great lights: the greater light to be the ruler of the day, and the smaller light to be the ruler of the night: and he made the stars.","1,0,0"
"And God put them in the arch of heaven, to give light on the earth;","1,0,0"
"To have rule over the day and the night, and for a division between the light and the dark: and God saw that it was good.","1,0,0"
"And there was evening and there was morning, the fourth day.","1,0,0"
"And God said, Let the waters be full of living things, and let birds be in flight over the earth under the arch of heaven.","1,0,0"
"And God made great sea-beasts, and every sort of living and moving thing with which the waters were full, and every sort of winged bird: and God saw that it was good.","1,0,0"
"And God gave them his blessing, saying, Be fertile and have increase, making all the waters of the seas full, and let the birds be increased in the earth.","1,0,0"
"And there was evening and there was morning, the fifth day.","1,0,0"
"And God said, Let the earth give birth to all sorts of living things, cattle and all things moving on the earth, and beasts of the earth after their sort: and it was so.","1,0,0"
"And God made the beast of the earth after its sort, and the cattle after their sort, and everything moving on the face of the earth after its sort: and God saw that it was good.","1,0,0"
"The vision of Isaiah, the son of Amoz, which he saw about Judah and Jerusalem, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.","0,1,0"
"Give ear, O heavens, and you, O earth, to the word which the Lord has said: I have taken care of my children till they became men, but their hearts have been turned away from me.","0,1,0"
"Even the ox has knowledge of its owner, and the ass of the place where its master puts its food: but Israel has no knowledge, my people give no thought to me.","0,1,0"
"O nation full of sin, a people weighted down with crime, a generation of evil-doers, false-hearted children: they have gone away from the Lord, they have no respect for the Holy One of Israel, their hearts are turned back from him.","0,1,0"
Why will you have more and more punishment? why keep on in your evil ways? Every head is tired and every heart is feeble.,"0,1,0"
"The body, from head to foot, is all diseased; it is a mass of open wounds, marks of blows, and broken flesh: the flow of blood has not been stopped, and no oil has been put on the wounds.","0,1,0"
"Your country has become waste; your towns are burned with fire; as for your land, it is overturned before your eyes, made waste and overcome by men from strange lands.","0,1,0"
"And the daughter of Zion has become like a tent in a vine-garden, like a watchmans house in a field of fruit, like a town shut in by armies.","0,1,0"
"If the Lord of armies had not kept some at least of us safe, we would have been like Sodom, and the fate of Gomorrah would have been ours.","0,1,0"
"Give ear to the word of the Lord, you rulers of Sodom; let your hearts be turned to the law of our God, you people of Gomorrah.","0,1,0"
"What use to me is the number of the offerings which you give me? says the Lord; your burned offerings of sheep, and the best parts of fat cattle, are a weariness to me; I take no pleasure in the blood of oxen, or of lambs, or of he-goats.","0,1,0"
"At whose request do you come before me, making my house unclean with your feet?","0,1,0"
"Give me no more false offerings; the smoke of burning flesh is disgusting to me, so are your new moons and Sabbaths and your holy meetings.","0,1,0"
Your new moons and your regular feasts are a grief to my soul: they are a weight in my spirit; I am crushed under them.,"0,1,0"
"And when your hands are stretched out to me, my eyes will be turned away from you: even though you go on making prayers, I will not give ear: your hands are full of blood.","0,1,0"
"Be washed, make yourselves clean; put away the evil of your doings from before my eyes; let there be an end of sinning;","0,1,0"
"Take pleasure in well-doing; let your ways be upright, keep down the cruel, give a right decision for the child who has no father, see to the cause of the widow.","0,1,0"
